Partlist

Exported from Armaz BBB Cape.brd at 08/09/2015 11:31

EAGLE Version 7.3.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value             Package              Library                                      Position (mm)         Orientation
R26      4.7K              R0402                rcl                                          (64.516 20.828)       R270
R27      4.7K              R0402                rcl                                          (63.2968 20.828)      R270
R28      4.7K              R0402                rcl                                          (66.9544 20.828)      R270
R29      4.7K              R0402                rcl                                          (68.1736 20.828)      R270
R30      4.7K              R0402                rcl                                          (65.278 31.6484)      R180
R31      3K3               R0402                rcl                                          (62.7888 54.5592)     R270
R32      120, DNI          R0402                rcl                                          (57.404 61.5696)      R0
R38      10K               R0402                rcl                                          (68.5292 8.2296)      R90
R40      10K               R0402                rcl                                          (78.8924 8.2296)      R90
R45      4.7K              R0402                rcl                                          (79.5528 70.9168)     R90
R50      10K               R0402                rcl                                          (88.2904 36.4744)     R270
R51      10K               R0402                rcl                                          (87.0712 36.4744)     R270
R52      10K               R0402                rcl                                          (85.852 36.4744)      R270
R53      10K               R0402                rcl                                          (84.6328 36.4744)     R270
R54      10K               R0402                rcl                                          (84.6328 17.3736)     R90
R55      10K               R0402                rcl                                          (85.852 17.3736)      R90
R56      10K               R0402                rcl                                          (87.0712 17.3736)     R90
R57      10K               R0402                rcl                                          (88.2904 17.3736)     R90
RL1      G6L5VDC           G6L-1F               rel-omron                                    (90.1192 44.5516)     R0
TH0      22-05-7038-03     7395-03              con-molex                                    (84.582 11.5824)      R0
TH1      22-05-7038-03     7395-03              con-molex                                    (74.2188 11.5824)     R0
TH2      22-05-7038-03     7395-03              con-molex                                    (63.8556 11.5824)     R0
U1       LM2675M-5.0       SOIC127P620X175-8N   NSC_By_element14_Batch_1.1                   (23.368 29.8704)      R270
U2       LM2675M-12        SOIC127P600X175-8N   NSC_By_element14_Batch_1.1                   (36.7792 29.6672)     R90
U3       24AA256-I/SN      SOIC127P600X175-8N   Microchip_By_element14_Batch_1               (17.4752 16.5608)     R0
U4       DS1307ZN+         SOIC127P600X175-8N   maxim                                        (34.3408 40.4368)     R0
U5       CD4050BD          SOIC127P600X175-16N  ti                                           (56.2356 28.3464)     R0
U6       CD4050BD          SOIC127P600X175-16N  ti                                           (31.6992 56.388)      R180
U7       PCA9685PW         SOP65P640X110-28N    custom                                       (67.5132 26.6192)     R90
U8       MCP23008-E/SO     SOIC127P1030X265-18N microchip                                    (80.0608 26.924)      R0
U9       SN65HVD08D        SOIC127P600X175-8N   ti                                           (57.5056 58.42)       R0
U10      MCP2515-I/SO      SOIC127P1034X264-18N Microchip_By_element14_Batch_1               (52.1208 44.2976)     R270
U11      MCP2551-I/SN      SOIC127P600X175-8N   Microchip_By_element14_Batch_1               (70.5104 71.5264)     R180
