Partlist

Exported from Armaz BBB Cape.sch at 08/09/2015 11:49

EAGLE Version 7.3.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value             Device                Package              Library                                      Sheet
R52      10K               R-EU_R0402            R0402                rcl                                          2
R53      10K               R-EU_R0402            R0402                rcl                                          2
R54      10K               R-EU_R0402            R0402                rcl                                          2
R55      10K               R-EU_R0402            R0402                rcl                                          2
R56      10K               R-EU_R0402            R0402                rcl                                          2
R57      10K               R-EU_R0402            R0402                rcl                                          2
RL1      G6L5VDC           G6L5VDC               G6L-1F               rel-omron                                    1
TH0      22-05-7038-03     22-05-7038-03         7395-03              con-molex                                    1
TH1      22-05-7038-03     22-05-7038-03         7395-03              con-molex                                    1
TH2      22-05-7038-03     22-05-7038-03         7395-03              con-molex                                    1
U1       LM2675M-5.0       LM2675M-5.0           SOIC127P620X175-8N   NSC_By_element14_Batch_1.1                   1
U2       LM2675M-12        LM2675M-12            SOIC127P600X175-8N   NSC_By_element14_Batch_1.1                   1
U3       24AA256-I/SN      24AA256-I/SN          SOIC127P600X175-8N   Microchip_By_element14_Batch_1               1
U4       DS1307ZN+         DS1307ZN+             SOIC127P600X175-8N   maxim                                        2
U5       CD4050BD          CD4050BD              SOIC127P600X175-16N  ti                                           2
U6       CD4050BD          CD4050BD              SOIC127P600X175-16N  ti                                           2
U7       PCA9685PW         PCA9685PW             SOP65P640X110-28N    custom                                       2
U8       MCP23008-E/SO     MCP23008-E/SO         SOIC127P1030X265-18N microchip                                    2
U9       SN65HVD08D        SN65HVD08D            SOIC127P600X175-8N   ti                                           2
U10      MCP2515-I/SO      MCP2515-I/SO          SOIC127P1034X264-18N Microchip_By_element14_Batch_1               2
U11      MCP2551-I/SN      MCP2551-I/SN          SOIC127P600X175-8N   Microchip_By_element14_Batch_1               2
